code_postal,code_insee,nom_commune
02140,02321,Fontaine-lès-Vervins
02110,02322,Fontaine-Notre-Dame
02110,02319,Fonsomme
02680,02320,Fontaine-lès-Clercs
02600,02316,Fleury
02590,02317,Fluquières
02520,02315,Flavy-le-Martel
02670,02318,Folembray
02120,02313,Flavigny-le-Grand-et-Beaurain
02260,02312,La Flamengrie
02840,02309,Festieux
02450,02308,Fesmy-le-Sart
02110,02310,Fieulaine
02460,02307,La Ferté-Milon
02270,02306,La Ferté-Chevresis
02100,02303,Fayet
02800,02304,La Fère
02130,02305,Fère-en-Tardenois
02600,02302,Faverolles
02190,02299,Évergnicourt
02400,02297,Étrépilly
02590,02296,Étreillers
02510,02298,Étreux
02580,02295,Étréaupont
02000,02294,Étouvelles
02110,02293,Étaves-et-Bocquiaux
02420,02291,Estrées
02400,02292,Étampes-sur-Marne
02570,02289,Essises
02400,02290,Essômes-sur-Marne
02690,02287,Essigny-le-Grand
02100,02288,Essigny-le-Petit
02260,02284,Erloy
02170,02286,Esquéhéries
02250,02283,Erlon
02840,02282,Eppes
02540,02281,L'Épine-aux-Bois
02500,02278,Éparcy
02400,02280,Épieds
02400,02279,Épaux-Bézu
02290,02277,Épagny
02260,02276,Englancourt
02500,02275,Effry
02350,02274,Ébouleau
02210,02272,Droizy
02130,02271,Dravegny
02480,02273,Dury
02590,02270,Douchy
02450,02269,Dorengt
02310,02268,Domptin
02360,02266,Dolignon
02360,02265,Dohis
02600,02267,Dommiers
02220,02263,Dhuizel
02340,02264,Dizy-le-Gros
02270,02261,Dercy
02700,02262,Deuillet
02800,02260,Danizy
02600,02259,Dampleux
02140,02256,Dagny-Lambercy
02680,02257,Dallon
02470,02258,Dammard
02600,02254,Cutry
02220,02255,Cys-la-Commune
02200,02253,Cuisy-en-Almont
02160,02252,Cuissy-et-Geny
02360,02251,Cuiry-lès-Iviers
02160,02250,Cuiry-lès-Chaudardes
02220,02249,Cuiry-Housse
02350,02248,Cuirieux
02480,02246,Cugny
02880,02245,Cuffies
02120,02244,Crupilly
02880,02243,Crouy
02310,02242,Crouttes-sur-Marne
02210,02241,La Croix-sur-Ourcq
02110,02240,Croix-Fonsomme
02650,02239,Crézancy
02870,02238,Crépy
02270,02237,Crécy-sur-Serre
